data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,ram_geracao,ram_gb,ram_mhz,ram_cl,ram_notebook
2026-07-01,ram,870650,Memória Ram Para Servidor Hp Proliant Dl380e Gen8 - 8GB Ecc.,0.0,599.0,599.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,True,https://www.kabum.com.br/produto/870650/memoria-ram-para-servidor-hp-proliant-dl380e-gen8-8gb-ecc,,8.0,,,False
2026-07-01,ram,833966,Memória Ram Para Servidor Hp Microserver Gen8 - 8GB Ecc.,0.0,599.0,599.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,True,https://www.kabum.com.br/produto/833966/memoria-ram-para-servidor-hp-microserver-gen8-8gb-ecc,,8.0,,,False
2026-07-01,ram,833964,Memória Ram Para Servidor Hp Proliant Ml10 - 8GB Ecc.,0.0,599.0,599.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,True,https://www.kabum.com.br/produto/833964/memoria-ram-para-servidor-hp-proliant-ml10-8gb-ecc,,8.0,,,False
2026-07-01,ram,1037353,Memoria Para Notebook 32gb Ddr4 2666 Brazilpc Bpc2666d4scl,0.0,2501.2,2501.2,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1037353/memoria-para-notebook-32gb-ddr4-2666-brazilpc-bpc2666d4scl,Ddr4,32.0,,,True
2026-07-01,ram,676699,Memória Ram Notebook Oxybr Ddr5 32gb 4800mhz,0.0,3665.44,3665.44,0,0,0,True,OxyBr,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/676699/memoria-ram-notebook-oxybr-ddr5-32gb-4800mhz,Ddr5,32.0,4800.0,,True
2026-07-01,ram,626360,Memória Ram PC Hawking Ddr5 32gb 5600mhz,0.0,6862.11,6175.9,10,0,0,True,Hawking,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/626360/memoria-ram-pc-hawking-ddr5-32gb-5600mhz,Ddr5,32.0,5600.0,,False
2026-07-01,ram,1047962,Memória Ram Ddr4 2666mhz 16gb So-dimm Knup - Kp-hd854,0.0,999.99,949.99,5,0,0,True,Knup,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1047962/memoria-ram-ddr4-2666mhz-16gb-so-dimm-knup-kp-hd854,Ddr4,16.0,2666.0,,True
2026-07-01,ram,1007305,Memoria 16gb Ddr4 3200mhz Lexar Ld4u16g32c22st-bgs,0.0,1347.79,1105.19,18,0,0,True,Lexar,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,True,https://www.kabum.com.br/produto/1007305/memoria-16gb-ddr4-3200mhz-lexar-ld4u16g32c22st-bgs,Ddr4,16.0,3200.0,,False
2026-07-01,ram,922630,Memória Get Para Notebook Ddr4 16gb 3200mhz,0.0,1666.44,1666.44,0,0,0,True,GOLDENTEC ACESSORIOS,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/922630/memoria-get-para-notebook-ddr4-16gb-3200mhz,Ddr4,16.0,3200.0,,True
2026-07-01,ram,886337,Memória Ram 16gb Ddr3 1333mhz 10600r Para Dell Precision,0.0,449.0,449.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1333 Mhz PC10666,Sem Garantia,True,https://www.kabum.com.br/produto/886337/memoria-ram-16gb-ddr3-1333mhz-10600r-para-dell-precision,Ddr3,16.0,1333.0,,False
2026-07-01,ram,886333,Memória Ram 16gb Ddr3 Dell Poweredge R320 R420 R520 R620 R720,0.0,449.0,449.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1333 Mhz PC10666,Sem Garantia,True,https://www.kabum.com.br/produto/886333/memoria-ram-16gb-ddr3-dell-poweredge-r320-r420-r520-r620-r720,Ddr3,16.0,,,False
2026-07-01,ram,940103,"Memória Para Notebook Get, Ddr4 8GB 3200mhz",0.0,1011.72,1011.72,0,0,0,True,GOLDENTEC ACESSORIOS,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/940103/memoria-para-notebook-get-ddr4-8gb-3200mhz,Ddr4,8.0,3200.0,,True
2026-07-01,ram,952176,Memória Ram 8GB Ddr4 2133mhz Ecc Para Thinkserver Ts150,0.0,759.0,759.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2133MHz,Sem Garantia,True,https://www.kabum.com.br/produto/952176/memoria-ram-8gb-ddr4-2133mhz-ecc-para-thinkserver-ts150,Ddr4,8.0,2133.0,,False
2026-07-01,ram,1006902,"Memoria Kingston 16gb (1x 16gb) Ddr5, 5600mhz, PC5-44800, Udimm, Cl46, 1.1v, 288-pin, - Kvr56u46bs8-16",0.0,2119.38,1865.05,12,0,0,True,Kingston,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1006902/memoria-kingston-16gb-1x-16gb-ddr5-5600mhz-pc5-44800-udimm-cl46-1-1v-288-pin-kvr56u46bs8-16,Ddr5,16.0,5600.0,46.0,False
2026-07-01,ram,952174,Memória Ram 8GB Ecc - Precision Para Tower 3000 Series T3420,0.0,759.0,759.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2133MHz,Sem Garantia,True,https://www.kabum.com.br/produto/952174/memoria-ram-8gb-ecc-precision-para-tower-3000-series-t3420,,8.0,,,False
2026-07-01,ram,1013919,Memoria Notebook 8GB Ddr4 3200mhz Patriot Signature Psd48g320082s,0.0,679.89,611.9,10,0,0,True,Patriot,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1013919/memoria-notebook-8gb-ddr4-3200mhz-patriot-signature-psd48g320082s,Ddr4,8.0,3200.0,,True
2026-07-01,ram,533052,"Memória Dale7, 1GB, 533Mhz, DDR2, Desktop, 1.8v",0.0,63.89,63.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 2,Sem Garantia,False,https://www.kabum.com.br/produto/533052/memoria-dale7-1gb-533mhz-ddr2-desktop-1-8v,DDR2,1.0,533.0,,False
2026-07-01,ram,532715,"Memória Dale7, 16GB, 3200Mhz, DDR4, Notebook, 1.2v",0.0,689.89,689.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/532715/memoria-dale7-16gb-3200mhz-ddr4-notebook-1-2v,DDR4,16.0,3200.0,,True
2026-07-01,ram,1048886,Memória Gamer Kingston Fury Hyperx Ddr3 4gb 1600mhz Desktop,0.0,139.0,134.83,3,0,0,True,Kingston,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,True,https://www.kabum.com.br/produto/1048886/memoria-gamer-kingston-fury-hyperx-ddr3-4gb-1600mhz-desktop,Ddr3,4.0,1600.0,,False
2026-07-01,ram,400916,"Memória Markvision, 4GB, 2400MHz, DDR4 - MVD44096MLD-24",0.0,368.0,368.0,0,0,0,True,Markvision,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/400916/memoria-markvision-4gb-2400mhz-ddr4-mvd44096mld-24,DDR4,4.0,2400.0,,False
2026-07-01,ram,1016128,Memoria Ram 4gb Ddr4 3200mhz Zmi,0.0,338.0,338.0,0,0,0,True,Smart,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1016128/memoria-ram-4gb-ddr4-3200mhz-zmi,Ddr4,4.0,3200.0,,False
2026-07-01,ram,589163,"Memória Ram Para Desktop Macrovip, 8GB, 1600MHz, DDR3",0.0,298.0,298.0,0,0,0,True,MACROVIP,Hardware/Memória RAM/DDR 4/1600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/589163/memoria-ram-para-desktop-macrovip-8gb-1600mhz-ddr3,DDR3,8.0,1600.0,,False
2026-07-01,ram,509220,"Memória RAM Desktop, Adata DDR4 8GB, 2666mhz - Ad4u26668g19-bgn",0.0,647.0,647.0,0,0,0,True,Adata,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/509220/memoria-ram-desktop-adata-ddr4-8gb-2666mhz-ad4u26668g19-bgn,DDR4,8.0,2666.0,,False
2026-07-01,ram,1023413,Memória De Notebook Kingston 8GB Ddr3l PC3l-12800s 1600mhz,0.0,189.0,189.0,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/1023413/memoria-de-notebook-kingston-8gb-ddr3l-pc3l-12800s-1600mhz,Ddr3,8.0,1600.0,,True
2026-07-01,ram,658851,Memória Servidor Nanya 1gb Ddr2 667mhz Ecc Nt1gt72u89d0bd-ac,0.0,119.0,119.0,0,0,0,True,Nanya,Hardware/Memória RAM/DDR 2,Sem Garantia,False,https://www.kabum.com.br/produto/658851/memoria-servidor-nanya-1gb-ddr2-667mhz-ecc-nt1gt72u89d0bd-ac,Ddr2,1.0,667.0,,False
2026-07-01,ram,656378,Memória Ram Kingston 4gb - Kth-xw667lp/4g,0.0,999.0,999.0,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 2,Sem Garantia,False,https://www.kabum.com.br/produto/656378/memoria-ram-kingston-4gb-kth-xw667lp-4g,,4.0,,,False
2026-07-01,ram,1033408,Memória Ram Ddr3 8GB 1600mhz Cl11 1.5v 240pin Oem Xlinne,0.0,239.85,239.85,0,0,0,True,Xlinne,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,False,https://www.kabum.com.br/produto/1033408/memoria-pc-ddr3-8gb-1600mhz-12800-cl11-1-5v-240pin-oem-xlinne,Ddr3,8.0,1600.0,11.0,False
2026-07-01,ram,1034849,"Memória Xpg Lancer Blade RGB Wh, 16gb Ddr5, 5600mhz, Cl46, Ax5u5600c4616g-slabrwh",0.0,2286.11,2286.11,0,0,0,True,Adata,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1034849/memoria-xpg-lancer-blade-rgb-wh-16gb-ddr5-5600mhz-cl46-ax5u5600c4616g-slabrwh,Ddr5,16.0,5600.0,46.0,False
2026-07-01,ram,612757,Memória Ram Ddr3 4Gb 1600Mhz Cl11 1.5V Box XLinne,0.0,111.85,111.85,0,0,0,True,X-Linne,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,False,https://www.kabum.com.br/produto/612757/memoria-ram-ddr3-4gb-1600mhz-cl11-1-5v-box-xlinne,Ddr3,4.0,1600.0,11.0,False
2026-07-01,ram,989185,Memória Ram 8GB Ddr3l 1600mhz Markvision Mvd38192msd-a6,0.0,318.0,318.0,0,0,0,True,Markvision,Hardware/Memória RAM/DDR 3/2000 Mhz PC16000,Sem Garantia,False,https://www.kabum.com.br/produto/989185/memoria-ram-8gb-ddr3l-1600mhz-markvision-mvd38192msd-a6,Ddr3,8.0,1600.0,,False
2026-07-01,ram,1049739,Memória Notebook Smart 8GB Ddr4 2666mhz,0.0,399.0,399.0,0,0,0,True,Smart,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1049739/memoria-notebook-smart-8gb-ddr4-2666mhz,Ddr4,8.0,2666.0,,True
2026-07-01,ram,1044170,Memória Ddr4 8GB 2666mhz Sodimm Sk Hynix,0.0,499.0,499.0,0,0,0,True,SK HYNIX,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1044170/memoria-ddr4-8gb-2666mhz-sodimm-sk-hynix,Ddr4,8.0,2666.0,,True
2026-07-01,ram,1048924,Memória Sk Hynix 4gb Ddr4 2133mhz Sodimm,0.0,299.0,299.0,0,0,0,True,SK HYNIX,Hardware/Memória RAM/DDR 4/2133MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1048924/memoria-sk-hynix-4gb-ddr4-2133mhz-sodimm,Ddr4,4.0,2133.0,,True
2026-07-01,ram,1050164,Memoria Ddr3 8GB 1600mhz Keepdata Kd16n11/8g,0.0,248.74,248.74,0,0,0,True,KEEPDATA,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,False,https://www.kabum.com.br/produto/1050164/memoria-ddr3-8gb-1600mhz-keepdata-kd16n11-8g,Ddr3,8.0,1600.0,,False
