data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,cpu_socket,cpu_tdp_w,cpu_com_cooler,cpu_marca,cpu_serie,cpu_ddr_suportado
2026-05-16,cpu,999078,Processador Intel Core i3 4130 3.4ghz LGA  1150 - 4° Geração,0.0,210.0,210.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,False,https://www.kabum.com.br/produto/999078/processador-intel-core-i3-4130-3-4ghz-lga-1150-4-geracao,LGA1150,,False,Intel,Core i3,
2026-05-16,cpu,1029943,"Processador Intel Core i5-4440 3.1ghz (3.3ghz Turbo Max), Socket LGA 1150, 6mb Cache, Hd Graphics 4600 - Oem",0.0,168.26,153.12,9,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,True,https://www.kabum.com.br/produto/1029943/processador-intel-core-i5-4440-3-1ghz-3-3ghz-turbo-max-socket-lga-1150-6mb-cache-hd-graphics-4600-oem,LGA1150,,False,Intel,Core i5,
2026-05-16,cpu,881495,Processador Intel Core i3 4ª De 2 Núcleos E 3.4ghz - Oem,0.0,132.3,128.33,3,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/881495/processador-intel-core-i3-4-de-2-nucleos-e-3-4ghz-oem,,,False,Intel,Core i3,
2026-05-16,cpu,1037212,Processador Intel Core i5-8400 8ª Geração LGA  1151 2.8ghz 9mb Cache Sem Cooler,0.0,772.09,772.09,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,True,https://www.kabum.com.br/produto/1037212/processador-intel-core-i5-8400-8-geracao-lga-1151-2-8ghz-9mb-cache-sem-cooler,LGA1151,,True,Intel,Core i5,DDR4
2026-05-16,cpu,1034074,"Processador Intel Core i3-12100t, 2.2ghz (4.1ghz Turbo), Cache 12mb, LGA 1700, Uhd Graphics 730, Tdp 35w - Oem",0.0,1264.42,1150.62,9,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,True,https://www.kabum.com.br/produto/1034074/processador-intel-core-i3-12100t-2-2ghz-4-1ghz-turbo-cache-12mb-lga-1700-uhd-graphics-730-tdp-35w-oem,LGA1700,35.0,False,Intel,Core i3,DDR4/DDR5
2026-05-16,cpu,1030258,"Processador Intel Core i5-6400 2.7ghz (3.3ghz Turbo Max), Socket LGA 1151, Ddr4, 6mb Cache, Hd Graphics 530 - Oem",0.0,271.28,246.86,9,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,True,https://www.kabum.com.br/produto/1030258/processador-intel-core-i5-6400-2-7ghz-3-3ghz-turbo-max-socket-lga-1151-ddr4-6mb-cache-hd-graphics-530-oem,LGA1151,,False,Intel,Core i5,DDR4
2026-05-16,cpu,895251,Processador Intel i7-12700f 2.1ghz 25mb LGA  1700 20 Threads,0.0,2290.0,2290.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/895251/processador-intel-i7-12700f-2-1ghz-25mb-lga-1700-20-threads,LGA1700,,False,Intel,,DDR4/DDR5
2026-05-16,cpu,878596,Processador Intel  Core i3-2130 3.4ghz 3mb 1155p Oem,0.0,150.0,150.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/878596/processador-intel-core-i3-2130-3-4ghz-3mb-1155p-oem,,,False,Intel,Core i3,
2026-05-16,cpu,1035237,"Processador Intel Core i3-10100 3.6ghz (4.3ghz Turbo), Cache 6mb, Socket LGA 1700, Uhd Graphics 630 - Oem",0.0,1032.56,939.63,9,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,True,https://www.kabum.com.br/produto/1035237/processador-intel-core-i3-10100-3-6ghz-4-3ghz-turbo-cache-6mb-socket-lga-1700-uhd-graphics-630-oem,LGA1700,,False,Intel,Core i3,DDR4/DDR5
2026-05-16,cpu,1036263,"Processador Intel Core i3-7101te 3.4ghz, Socket LGA 1151, Ddr4, 3mb Cache, Tdp 35w, Hd Graphics 630 - Oem",0.0,114.88,104.54,9,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,True,https://www.kabum.com.br/produto/1036263/processador-intel-core-i3-7101te-3-4ghz-socket-lga-1151-ddr4-3mb-cache-tdp-35w-hd-graphics-630-oem,LGA1151,35.0,False,Intel,Core i3,DDR4
