data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,ssd_interface,ssd_geracao_pcie,ssd_capacidade_gb,ssd_notebook
2026-05-16,ssd,300284,"SSD, XPG S70 Blade 2TB, M.2 NVME, PCIE GEN4x4, Leitura: 7400mb/s E Gravação: 6400mb/s, 3d Nand - AGAMMIXS70B-2T-CS",0.0,2927.99,2927.99,0,4,7,True,XPG,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/300284/ssd-xpg-s70-blade-2tb-m-2-nvme-pcie-gen4x4-leitura-7400mb-s-e-gravacao-6400mb-s-3d-nand-agammixs70b-2t-cs,NVMe,None,2048.0,False
2026-05-16,ssd,484557,"SSD 2tb Keepdata, M.2 2280, Pcie Gen3x4 Nvme, Leitura 2400mb/s, Gravação 1700mb/s - KDNV2T-J12",0.0,4488.86,4264.42,5,0,0,True,KEEPDATA,Hardware/SSD/SSD M.2 SATA,Sem Garantia,False,https://www.kabum.com.br/produto/484557/ssd-2tb-keepdata-m-2-2280-pcie-gen3x4-nvme-leitura-2400mb-s-gravacao-1700mb-s-kdnv2t-j12,NVMe,None,2048.0,False
2026-05-16,ssd,651235,SSD Patriot M.2 2TB Viper Gaming Vp4300 Lite Nvme - Vp4300l2TBm28h,0.0,1979.9,1781.91,10,0,0,True,Patriot,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/651235/ssd-patriot-m-2-2tb-viper-gaming-vp4300-lite-nvme-vp4300l2tbm28h,NVMe,,2048.0,False
2026-05-16,ssd,212678,"Ssd Portátil Lacie, 1tb, Usb-c - Sthk1000800",0.0,3199.0,2495.22,22,0,0,True,Lacie,Hardware/SSD/SSD Externo / Portátil,Sem Garantia,False,https://www.kabum.com.br/produto/212678/ssd-portatil-lacie-1tb-usb-c-sthk1000800,,,1024.0,False
2026-05-16,ssd,715454,SSD 512gb M.2 Sata 3 500mb/s Leit - 450mb/s Grav Preto,0.0,729.69,620.24,15,0,0,True,Outros,Hardware/SSD/SSD M.2 SATA,Sem Garantia,True,https://www.kabum.com.br/produto/715454/ssd-512gb-m-2-sata-3-500mb-s-leit-450mb-s-grav-preto,NVMe,,512.0,False
2026-05-16,ssd,906071,SSD Spatium 500gb Nvme M.2  2280 PCi 3.0 Msi - M371,0.0,813.9,691.82,15,0,0,True,MSI,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/906071/ssd-spatium-500gb-nvme-m-2-2280-pci-3-0-msi-m371,NVMe,,500.0,False
2026-05-16,ssd,384170,"HD SSD 960GB Kingston A400, Sata III 6GB/S, Leitura 500MB/S, Gravação 450MB/S - Sa400s37/960g",0.0,2510.78,2385.24,5,5,1,True,Kingston,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/384170/hd-ssd-960gb-kingston-a400-sata-iii-6gb-s-leitura-500mb-s-gravacao-450mb-s-sa400s37-960g,SATA,,960.0,False
2026-05-16,ssd,992279,Hd SSD Walram 2TB 560mb/s De Leitura 490mb/s De Escrita 3d Nand,0.0,1373.9,1373.9,0,0,0,True,Walram,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/992279/hd-ssd-walram-2tb-560mb-s-de-leitura-490mb-s-de-escrita-3d-nand,,,2048.0,False
2026-05-16,ssd,702125,"SSD Patriot P300, 2tb, M.2 Nvme 1.3, Leituras: 2100mb/s E Gravações: 1650mb/s - P300p2tbm28",0.0,3139.0,2573.98,18,0,0,True,Patriot,Hardware/SSD/SSD M.2 SATA,Sem Garantia,True,https://www.kabum.com.br/produto/702125/ssd-patriot-p300-2tb-m-2-nvme-1-3-leituras-2100mb-s-e-gravacoes-1650mb-s-p300p2tbm28,NVMe,,2048.0,False
2026-05-16,ssd,484548,"SSD 1tb Keepdata, M.2 2280, Sata Iii 6GB/s, Leitura 550mb/s, Gravação 500mb/s - KDM1T-J12",0.0,1099.99,1099.99,0,0,0,True,KEEPDATA,Hardware/SSD/SSD M.2 SATA,Sem Garantia,False,https://www.kabum.com.br/produto/484548/ssd-1tb-keepdata-m-2-2280-sata-iii-6gb-s-leitura-550mb-s-gravacao-500mb-s-kdm1t-j12,NVMe,,1024.0,False
